|College Name|College Web Link|Web Page Content
0|Miranda House |https://www.shiksha.com/college/miranda-house-north-campus-delhi-3090|Founded in 1948, Miranda House is one of the oldest and premier women's institutions under the University of Delhi. The college was founded by Lady Edwina Mountbatten to promote higher education for women. The college boasts of its teaching departments. Its Humanities and Social Sciences section comes with 13 departments which are considered best amongst the rest of the colleges of the University.
1|Lady Shri Ram College for Women |https://www.shiksha.com/college/lady-shri-ram-college-for-women-lajpat-nagar-delhi-23895|"Lady Shri Ram College for Women University of Delhi (also known as LSR College for Women) is an all-women college affiliated to Delhi University. It was established in 1956 by the Late Sir Lala Shri Ram in New Delhi. The campus is located in Lajpat Nagar, South Delhi and is recognised by the Ministry of Human Resource Development (MHRD). LSR College has been ranked 2 in NIRF 2020 under the 'College' category, 3 and 4 by India Today Ranking 2021 under 'Commerce' and 'Arts' categories, respectively. The National Assessment and Accreditation Council (NAAC) has accredited the college with an ""A"" Grade and a 3.61 CGPA. A total of 25 courses are offered by LSR, including all UG, PG and specialisation courses."
2|Hindu College |https://www.shiksha.com/college/the-hindu-college-guntur-21399|A
3|St Stephen’s College |https://www.shiksha.com/college/st-stephen-s-college-north-campus-delhi-23933|Sorry, the page you were looking for doesn't exist or has been moved. We're working on it
4|Presidency College |https://www.shiksha.com/college/presidency-college-chennai-chepauk-20896|Go to website...
5|Loyola College |https://www.shiksha.com/college/loyola-college-nungambakkam-chennai-1108|Established in 1925 by the Society of Jesus, Loyola College in Chennai is amongst the premier colleges in India. It is an autonomous institution affiliated to the University of Madras. Conferred as the ‘College of Excellence’ by UGC, Loyola has been accredited with 'A' grade by the National Assessment and Accreditation Council (NAAC). Loyola College, Chennai, is ranked 6th in the college category in the National Institutional Ranking Framework 2019 by the Ministry of Human Resource Development, Government of India. Further, it has been ranked amongst the top 10 colleges in the country for the last 17 years since 2002 by India Today. Spread across 96 acres, Loyola College boasts state-of-the-art infrastructure comprising a central library, smart classrooms, ICT labs, specialised laboratories, Wi-Fi, a cafeteria, a health centre, a sports pavilion, a gym and hostel facilities. Loyola College offers 25 undergraduate, 19 postgraduate, 11 M.Phil and 14 doctoral programmes in various branches of humanities, science and commerce. The college maintains various departments, including History, Social Work, Philosophy, Sociology, Economics, Commerce, Advanced Zoology & Biotechnology, Plant Biology & Biotechnology, Visual Communication, Media Arts, Physical Education, Computer Science, Physics, Chemistry & Food Chemistry, Mathematics, Statistics, English, French, Tamil and Oriental Languages. The popular courses offered at the college are B.Com (CS), B.B.A, MCA, M.Voc. (Digital Journalism/3D Animation), Medical Lab Technology, M.Sc. (Data Science/Computer Science/Biotechnology/Food Chemistry and Food Processing) and M.A. (Social Work/Human Resource Management / Human Rights).
6|St Xavier’s College |https://www.shiksha.com/college/st-xavier-s-college-kolkata-park-street-23242|LSR College for Women BA programme is one of its most-known courses and offers students a very tough competition for seats. The college offers BA in 12 specialisations including English, Economics, Journalism, History, Maths, Philosophy, Hindi, Political Science and Sanskrit among others. The faculty-student ratio at LSR is about 1:15 with an average class size of 40 students. Lady Shri Ram College has over 20+ extracurricular societies (ECA) for quiz, painting, dance, singing, debate, etc. The college celebrates its annual cultural fest known as TARANG which is quite popular among all the students of not only DU but other prestigious colleges as well.
7|Ramakrishna Mission Vidyamandira |https://www.shiksha.com/college/ramakrishna-mission-vidyamandira-howrah-52978|http://www.vidyamandira.ac.in
8|Hansraj College |https://www.shiksha.com/college/hansraj-college-malka-ganj-delhi-3062|Hansraj College, a government college situated in Malka Ganj, Delhi, is one of the largest constituent colleges of the University of Delhi. Established in 1948, it offers courses in Liberal Arts, Science and Commerce. Hansraj College is accredited by the National Assessment and Accreditation Council (NAAC) with an 'A+' grade and has been ranked 9 in NIRF 2020 rankings. It has also been ranked 5 for Commerce by The Week 2020, ranked 5 for Science by The Week 2020, 6 for Arts by India Today 2020 and ranked 7 for Arts by The Week 2020.
9|PSGR Krishnammal College for Women |https://www.shiksha.com/college/psgr-krishnammal-college-for-women-coimbatore-22882|Go to website...
